quote_id,quote_text,quote_source,location,active,sort_order
billy-idol,"So let's sink another drink, 'Cause it'll give me time to think",Billy Idol,cover,yes,1
ernest-hemingway,"I feel sorry for people who do not drink. When they wake up in the morning, that is as good as they are going to feel all day.",Ernest Hemingway,cover,yes,2
cool-runnings,"Feel the rhythm Feel the rhyme Get on up it is bobsled time Cool Runnings",Cool Runnings,cool-runnings,yes,3
ben-franklin-beer,"Beer is proof that God loves us and wants us to be happy.",Benjamin Franklin,cover,yes,4
hemingway-interesting,"I drink to make other people more interesting.",Ernest Hemingway,cover,yes,5
fitzgerald-rose-colored,"Here's to alcohol, the rose-colored glasses of life.",F. Scott Fitzgerald,cover,yes,6
ogden-nash-liquor,"Candy is dandy, but liquor is quicker.",Ogden Nash,cover,yes,7
